tweet_id,name,stage,rating_numerator,rating_denominator,rating_normal,likes,retweets
686377065986265092,Birf,pupper,10.0,10,1.0,2123,538
686007916130873345,,pupper,11.0,10,1.1,2376,388
685943807276412928,,pupper,8.0,10,0.8,1558,557
685667379192414208,Marty,pupper,9.0,10,0.9,2262,536
685641971164143616,Otis,pupper,7.0,10,0.7,2798,728
685547936038666240,,pupper,14.0,10,1.4,31565,14812
685268753634967552,Hubertson,pupper,10.0,10,1.0,2969,1136
685169283572338688,Gerbald,pupper,11.0,10,1.1,3946,1353
684880619965411328,,pupper,5.0,10,0.5,2000,765
684225744407494656,,pupper,143.0,130,1.1,1192,196
684222868335505415,,pupper,121.0,110,1.1,3676,1299
684200372118904832,,pupper,6.0,10,0.6,2061,992
683857920510050305,Sadie,pupper,10.0,10,1.0,3660,1067
683834909291606017,,pupper,9.0,10,0.9,2521,1069
683828599284170753,,pupper,12.0,10,1.2,2690,1006
683481228088049664,Banjo,pupper,11.0,10,1.1,2559,953
683462770029932544,,pupper,8.0,10,0.8,2325,644
683142553609318400,Brandy,pupper,9.0,10,0.9,2753,990
683111407806746624,Larry,pupper,10.0,10,1.0,3261,867
683078886620553216,,pupper,9.0,10,0.9,1921,542
682788441537560576,,pupper,12.0,10,1.2,2380,1060
682406705142087680,Patrick,pupper,7.0,10,0.7,7248,1668
681891461017812993,Charlie,pupper,10.0,10,1.0,2367,777
681694085539872773,Bo,pupper,11.0,10,1.1,12271,3846
681679526984871937,,pupper,7.0,10,0.7,1687,417
681654059175129088,Toffee,pupper,12.0,10,1.2,2517,861
681231109724700672,,pupper,11.0,10,1.1,2310,464
680836378243002368,Ellie,pupper,12.0,10,1.2,3311,1253
680583894916304897,Penny,pupper,8.0,10,0.8,3468,1256
680494726643068929,,pupper,11.26,10,1.13,1645,463
680473011644985345,Hector,pupper,10.0,10,1.0,2435,714
680191257256136705,,pupper,11.0,10,1.1,2062,476
680176173301628928,,pupper,10.0,10,1.0,3721,1467
680145970311643136,Kawhi,pupper,10.0,10,1.0,3449,1653
